#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
37.3,1200,5856.192108
123.4,755,5867.009449
116.25,327,5871.192269
105.55,111,5872.619099
108.45,173,5874.847104
10.0,1200,5891.327245
32.85,1200,5907.615204
35.45,1200,5924.276946
27.15,1200,5940.629413
111.95,332,5948.563123
114.9,299,5954.439705
126.5,809,5970.122595
113.95,288,5975.951927
-988.85,532,5986.06742
33.4,1200,6009.373056
104.85,97,6011.284132
104.2,84,6012.888473
31.25,1200,6035.657475
117.85,360,6042.840956
8.95,1200,6065.800811
117.7,357,6072.800951
102.6,79,6074.178244
25.3,1200,6096.628049
107.3,146,6099.306727
-999.55,999,6118.39727
104.75,95,6120.321627
114.95,319,6126.393982
30.85,1200,6148.387129
117.55,354,6153.359793
21.1,1200,6169.804252
37.4,1200,6186.198092
40.05,1200,6202.901327
118.85,406,6207.999921
116.65,334,6212.643925
117.7,499,6219.521909
12.25,1200,6235.666014
31.4,1200,6251.925629
42.4,1200,6268.421598
108.4,190,6270.765435
-997.35,1111,6285.987409
100.05,1,6286.000449
134.1,1132,6301.240861
114.2,565,6308.792491
3.8,1200,6325.192043
-996.45,964,6338.224216
29.8,1200,6354.500807
122.05,732,6364.837384
108.6,181,6367.16189
116.35,543,6374.808539
105.9,157,6376.929395
109.4,247,6380.098082
-993.7,915,6392.968427
-980.4,1044,6407.272125
123.15,770,6417.252103
37.4,1200,6433.585024
104.35,87,6434.709232
104.75,95,6436.090487
110.4,212,6439.418
100.05,1,6439.43002
103.15,75,6440.406091
-992.0,986,6453.724303
106.4,128,6455.715634
126.7,797,6466.212327
-999.95,641,6475.338012
106.7,134,6477.076334
126.75,718,6487.07876
105.0,102,6488.38176
29.8,1200,6506.499021
109.4,235,6509.72794
5.3,1200,6525.951836
-998.7,950,6539.270743
30.35,1200,6555.669992
127.0,546,6562.85659
21.95,1200,6579.092919
-991.95,1196,6595.499339
115.55,1001,6609.225082
28.3,1200,6624.85067
20.6,1200,6640.956266
155.0,1183,6657.03801
108.8,176,6659.26998
125.85,822,6670.584376
19.6,1200,6686.811945
-991.5,1171,6702.636801
104.3,86,6703.758184
-994.1,941,6716.91556
100.05,1,6716.928593
123.8,477,6722.963155
